index,sign,astrology_sign,importance
0,gemini,gemini,no importance
1,cancer,cancer,no importance
2,pisces but it doesn't matter,pisces,no importance
3,pisces,pisces,no importance
4,aquarius,aquarius,no importance
5,taurus,taurus,no importance
6,virgo,virgo,no importance
7,sagittarius,sagittarius,no importance
8,gemini but it doesn't matter,gemini,no importance
9,cancer but it doesn't matter,cancer,no importance
10,taurus,taurus,no importance
11,leo but it doesn't matter,leo,no importance
12,taurus,taurus,no importance
13,Unknown,Unknown,Unknown
14,taurus,taurus,no importance
15,aquarius but it doesn't matter,aquarius,no importance
16,pisces but it doesn't matter,pisces,no importance
17,aries and it's fun to think about,aries,fun
18,libra but it doesn't matter,libra,no importance
19,pisces and it's fun to think about,pisces,fun
20,libra,libra,no importance
21,taurus but it doesn't matter,taurus,no importance
22,sagittarius but it doesn't matter,sagittarius,no importance
23,aquarius but it doesn't matter,aquarius,no importance
24,scorpio and it matters a lot,scorpio,importance
25,gemini and it's fun to think about,gemini,fun
26,leo and it's fun to think about,leo,fun
27,leo and it's fun to think about,leo,fun
28,Unknown,Unknown,Unknown
29,leo but it doesn't matter,leo,no importance
30,gemini,gemini,no importance
31,Unknown,Unknown,Unknown
32,libra,libra,no importance
33,cancer,cancer,no importance
34,sagittarius but it doesn't matter,sagittarius,no importance
35,Unknown,Unknown,Unknown
36,cancer and it's fun to think about,cancer,fun
37,libra and it's fun to think about,libra,fun
38,libra,libra,no importance
39,Unknown,Unknown,Unknown
40,Unknown,Unknown,Unknown
41,pisces,pisces,no importance
42,gemini but it doesn't matter,gemini,no importance
43,gemini and it's fun to think about,gemini,fun
44,aquarius and it's fun to think about,aquarius,fun
45,aquarius,aquarius,no importance
46,Unknown,Unknown,Unknown
47,libra,libra,no importance
48,Unknown,Unknown,Unknown
49,taurus but it doesn't matter,taurus,no importance
50,taurus,taurus,no importance
51,taurus,taurus,no importance
52,gemini and it's fun to think about,gemini,fun
53,Unknown,Unknown,Unknown
54,Unknown,Unknown,Unknown
55,pisces and it's fun to think about,pisces,fun
56,sagittarius,sagittarius,no importance
57,Unknown,Unknown,Unknown
58,pisces,pisces,no importance
59,libra but it doesn't matter,libra,no importance
60,gemini but it doesn't matter,gemini,no importance
61,cancer,cancer,no importance
62,cancer and it's fun to think about,cancer,fun
63,gemini and it's fun to think about,gemini,fun
64,virgo but it doesn't matter,virgo,no importance
65,Unknown,Unknown,Unknown
66,virgo but it doesn't matter,virgo,no importance
67,aries and it's fun to think about,aries,fun
68,virgo,virgo,no importance
69,scorpio and it's fun to think about,scorpio,fun
70,pisces,pisces,no importance
71,gemini and it's fun to think about,gemini,fun
72,pisces and it's fun to think about,pisces,fun
73,libra and it's fun to think about,libra,fun
74,sagittarius but it doesn't matter,sagittarius,no importance
75,gemini,gemini,no importance
76,capricorn but it doesn't matter,capricorn,no importance
77,leo and it's fun to think about,leo,fun
78,Unknown,Unknown,Unknown
79,Unknown,Unknown,Unknown
80,cancer but it doesn't matter,cancer,no importance
81,Unknown,Unknown,Unknown
82,Unknown,Unknown,Unknown
83,pisces and it's fun to think about,pisces,fun
84,gemini but it doesn't matter,gemini,no importance
85,scorpio and it's fun to think about,scorpio,fun
86,taurus,taurus,no importance
87,aries and it's fun to think about,aries,fun
88,Unknown,Unknown,Unknown
89,Unknown,Unknown,Unknown
90,cancer,cancer,no importance
91,scorpio,scorpio,no importance
92,capricorn and it's fun to think about,capricorn,fun
93,leo,leo,no importance
94,libra,libra,no importance
95,aries but it doesn't matter,aries,no importance
96,aries,aries,no importance
97,Unknown,Unknown,Unknown
98,pisces,pisces,no importance
99,taurus,taurus,no importance
100,aquarius,aquarius,no importance
101,Unknown,Unknown,Unknown
102,libra and it's fun to think about,libra,fun
103,leo and it's fun to think about,leo,fun
104,scorpio but it doesn't matter,scorpio,no importance
105,aries but it doesn't matter,aries,no importance
106,aries but it doesn't matter,aries,no importance
107,aries and it's fun to think about,aries,fun
108,aries but it doesn't matter,aries,no importance
109,Unknown,Unknown,Unknown
110,virgo,virgo,no importance
111,Unknown,Unknown,Unknown
112,Unknown,Unknown,Unknown
113,capricorn and it's fun to think about,capricorn,fun
114,aries but it doesn't matter,aries,no importance
115,aquarius,aquarius,no importance
116,Unknown,Unknown,Unknown
117,leo,leo,no importance
118,capricorn and it's fun to think about,capricorn,fun
119,scorpio,scorpio,no importance
120,aquarius but it doesn't matter,aquarius,no importance
121,gemini but it doesn't matter,gemini,no importance
122,cancer,cancer,no importance
123,sagittarius and it's fun to think about,sagittarius,fun
124,aries but it doesn't matter,aries,no importance
125,Unknown,Unknown,Unknown
126,virgo but it doesn't matter,virgo,no importance
127,Unknown,Unknown,Unknown
128,libra,libra,no importance
129,Unknown,Unknown,Unknown
130,gemini but it doesn't matter,gemini,no importance
131,leo and it's fun to think about,leo,fun
132,libra and it matters a lot,libra,importance
133,Unknown,Unknown,Unknown
134,Unknown,Unknown,Unknown
135,libra,libra,no importance
136,sagittarius but it doesn't matter,sagittarius,no importance
137,libra,libra,no importance
138,cancer,cancer,no importance
139,Unknown,Unknown,Unknown
140,pisces,pisces,no importance
141,libra and it's fun to think about,libra,fun
142,taurus and it's fun to think about,taurus,fun
143,Unknown,Unknown,Unknown
144,leo,leo,no importance
145,scorpio but it doesn't matter,scorpio,no importance
146,sagittarius,sagittarius,no importance
147,Unknown,Unknown,Unknown
148,Unknown,Unknown,Unknown
149,cancer and it's fun to think about,cancer,fun
150,cancer,cancer,no importance
151,leo but it doesn't matter,leo,no importance
152,aquarius and it's fun to think about,aquarius,fun
153,leo and it matters a lot,leo,importance
154,virgo,virgo,no importance
155,scorpio and it's fun to think about,scorpio,fun
156,Unknown,Unknown,Unknown
157,leo but it doesn't matter,leo,no importance
158,scorpio but it doesn't matter,scorpio,no importance
159,Unknown,Unknown,Unknown
160,virgo,virgo,no importance
161,sagittarius but it doesn't matter,sagittarius,no importance
162,Unknown,Unknown,Unknown
163,virgo and it's fun to think about,virgo,fun
164,libra,libra,no importance
165,leo,leo,no importance
166,pisces,pisces,no importance
167,gemini and it's fun to think about,gemini,fun
168,sagittarius but it doesn't matter,sagittarius,no importance
169,Unknown,Unknown,Unknown
170,leo but it doesn't matter,leo,no importance
171,sagittarius,sagittarius,no importance
172,Unknown,Unknown,Unknown
173,aquarius,aquarius,no importance
174,aries,aries,no importance
175,sagittarius,sagittarius,no importance
176,virgo but it doesn't matter,virgo,no importance
177,cancer and it matters a lot,cancer,importance
178,taurus and it's fun to think about,taurus,fun
179,Unknown,Unknown,Unknown
180,aquarius but it doesn't matter,aquarius,no importance
181,aries and it's fun to think about,aries,fun
182,leo and it's fun to think about,leo,fun
183,scorpio,scorpio,no importance
184,Unknown,Unknown,Unknown
185,virgo,virgo,no importance
186,aquarius but it doesn't matter,aquarius,no importance
187,taurus,taurus,no importance
188,taurus and it's fun to think about,taurus,fun
189,virgo but it doesn't matter,virgo,no importance
190,Unknown,Unknown,Unknown
191,cancer but it doesn't matter,cancer,no importance
192,virgo and it's fun to think about,virgo,fun
193,taurus,taurus,no importance
194,scorpio but it doesn't matter,scorpio,no importance
195,capricorn and it's fun to think about,capricorn,fun
196,aquarius,aquarius,no importance
197,Unknown,Unknown,Unknown
198,Unknown,Unknown,Unknown
199,leo,leo,no importance
200,aquarius but it doesn't matter,aquarius,no importance
201,gemini but it doesn't matter,gemini,no importance
202,sagittarius but it doesn't matter,sagittarius,no importance
203,gemini but it doesn't matter,gemini,no importance
204,virgo,virgo,no importance
205,virgo but it doesn't matter,virgo,no importance
206,taurus but it doesn't matter,taurus,no importance
207,pisces but it doesn't matter,pisces,no importance
208,scorpio and it's fun to think about,scorpio,fun
209,gemini and it's fun to think about,gemini,fun
210,Unknown,Unknown,Unknown
211,leo,leo,no importance
212,capricorn,capricorn,no importance
213,gemini and it's fun to think about,gemini,fun
214,Unknown,Unknown,Unknown
215,Unknown,Unknown,Unknown
216,cancer but it doesn't matter,cancer,no importance
217,virgo and it's fun to think about,virgo,fun
218,aries and it's fun to think about,aries,fun
219,Unknown,Unknown,Unknown
220,pisces,pisces,no importance
221,pisces and it's fun to think about,pisces,fun
222,gemini,gemini,no importance
223,aries but it doesn't matter,aries,no importance
224,sagittarius and it's fun to think about,sagittarius,fun
225,virgo and it's fun to think about,virgo,fun
226,gemini,gemini,no importance
227,aquarius,aquarius,no importance
228,virgo but it doesn't matter,virgo,no importance
229,cancer but it doesn't matter,cancer,no importance
230,scorpio,scorpio,no importance
231,leo,leo,no importance
232,Unknown,Unknown,Unknown
233,pisces and it's fun to think about,pisces,fun
234,leo but it doesn't matter,leo,no importance
235,scorpio and it's fun to think about,scorpio,fun
236,pisces and it matters a lot,pisces,importance
237,libra,libra,no importance
238,taurus,taurus,no importance
239,aquarius,aquarius,no importance
240,scorpio and it's fun to think about,scorpio,fun
241,virgo,virgo,no importance
242,aries and it matters a lot,aries,importance
243,leo but it doesn't matter,leo,no importance
244,virgo and it's fun to think about,virgo,fun
245,scorpio but it doesn't matter,scorpio,no importance
246,leo and it's fun to think about,leo,fun
247,gemini,gemini,no importance
248,taurus,taurus,no importance
249,gemini and it's fun to think about,gemini,fun
250,leo and it's fun to think about,leo,fun
251,libra,libra,no importance
252,aquarius and it's fun to think about,aquarius,fun
253,capricorn and it matters a lot,capricorn,importance
254,capricorn,capricorn,no importance
255,gemini but it doesn't matter,gemini,no importance
256,Unknown,Unknown,Unknown
257,Unknown,Unknown,Unknown
258,gemini,gemini,no importance
259,pisces,pisces,no importance
260,leo and it's fun to think about,leo,fun
261,aries,aries,no importance
262,aquarius but it doesn't matter,aquarius,no importance
263,pisces but it doesn't matter,pisces,no importance
264,pisces but it doesn't matter,pisces,no importance
265,taurus but it doesn't matter,taurus,no importance
266,libra and it's fun to think about,libra,fun
267,cancer but it doesn't matter,cancer,no importance
268,Unknown,Unknown,Unknown
269,gemini,gemini,no importance
270,virgo but it doesn't matter,virgo,no importance
271,leo and it's fun to think about,leo,fun
272,virgo but it doesn't matter,virgo,no importance
273,capricorn,capricorn,no importance
274,leo but it doesn't matter,leo,no importance
275,pisces but it doesn't matter,pisces,no importance
276,taurus,taurus,no importance
277,Unknown,Unknown,Unknown
278,aquarius and it's fun to think about,aquarius,fun
279,Unknown,Unknown,Unknown
280,taurus but it doesn't matter,taurus,no importance
281,libra and it's fun to think about,libra,fun
282,aries but it doesn't matter,aries,no importance
283,aries but it doesn't matter,aries,no importance
284,pisces and it's fun to think about,pisces,fun
285,cancer,cancer,no importance
286,aries and it's fun to think about,aries,fun
287,taurus and it's fun to think about,taurus,fun
288,sagittarius,sagittarius,no importance
289,Unknown,Unknown,Unknown
290,gemini but it doesn't matter,gemini,no importance
291,taurus,taurus,no importance
292,aquarius but it doesn't matter,aquarius,no importance
293,Unknown,Unknown,Unknown
294,cancer,cancer,no importance
295,Unknown,Unknown,Unknown
296,leo but it doesn't matter,leo,no importance
297,leo,leo,no importance
298,taurus and it's fun to think about,taurus,fun
299,scorpio but it doesn't matter,scorpio,no importance
300,pisces and it's fun to think about,pisces,fun
301,virgo,virgo,no importance
302,virgo and it's fun to think about,virgo,fun
303,taurus,taurus,no importance
304,leo but it doesn't matter,leo,no importance
305,libra,libra,no importance
306,scorpio and it matters a lot,scorpio,importance
307,Unknown,Unknown,Unknown
308,libra and it's fun to think about,libra,fun
309,aquarius but it doesn't matter,aquarius,no importance
310,scorpio and it's fun to think about,scorpio,fun
311,virgo but it doesn't matter,virgo,no importance
312,leo,leo,no importance
313,scorpio and it's fun to think about,scorpio,fun
314,aries and it's fun to think about,aries,fun
315,Unknown,Unknown,Unknown
316,gemini,gemini,no importance
317,libra and it's fun to think about,libra,fun
318,leo,leo,no importance
319,virgo,virgo,no importance
320,pisces and it's fun to think about,pisces,fun
321,libra and it's fun to think about,libra,fun
322,gemini and it's fun to think about,gemini,fun
323,Unknown,Unknown,Unknown
324,pisces but it doesn't matter,pisces,no importance
325,Unknown,Unknown,Unknown
326,Unknown,Unknown,Unknown
327,pisces and it's fun to think about,pisces,fun
328,leo but it doesn't matter,leo,no importance
329,virgo and it's fun to think about,virgo,fun
330,aries but it doesn't matter,aries,no importance
331,libra but it doesn't matter,libra,no importance
332,Unknown,Unknown,Unknown
333,Unknown,Unknown,Unknown
334,Unknown,Unknown,Unknown
335,capricorn and it's fun to think about,capricorn,fun
