index,ethnicity,ethnicity_1,ethnicity_2,ethnicity_3
0,"asian, white",asian,white,
1,white,white,,
2,rather not disclose,rather not disclose,,
3,white,white,,
4,"asian, black, other",asian,black,other
5,white,white,,
6,"white, other",white,,other
7,white,white,,
8,white,white,,
9,white,white,,
10,white,white,,
11,white,white,,
12,white,white,,
13,white,white,,
14,"hispanic / latin, white",white,,
15,white,white,,
16,white,white,,
17,hispanic / latin,rather not disclose,,
18,white,white,,
19,white,white,,
20,white,white,,
21,rather not disclose,rather not disclose,,
22,white,white,,
23,white,white,,
24,white,white,,
25,"asian, white",asian,white,
26,"pacific islander, white",white,pacific islander,
27,asian,asian,,
28,rather not disclose,rather not disclose,,
29,white,white,,
30,white,white,,
31,rather not disclose,rather not disclose,,
32,white,white,,
33,rather not disclose,rather not disclose,,
34,white,white,,
35,white,white,,
36,white,white,,
37,"hispanic / latin, white",white,,
38,rather not disclose,rather not disclose,,
39,white,white,,
40,rather not disclose,rather not disclose,,
41,"black, white",mixed,,
42,white,white,,
43,white,white,,
44,white,white,,
45,pacific islander,pacific islander,,
46,rather not disclose,rather not disclose,,
47,white,white,,
48,rather not disclose,rather not disclose,,
49,white,white,,
50,white,white,,
51,rather not disclose,rather not disclose,,
52,white,white,,
53,"asian, native american",asian,native american,
54,white,white,,
55,white,white,,
56,white,white,,
57,white,white,,
58,"hispanic / latin, white",white,,
59,rather not disclose,rather not disclose,,
60,"asian, pacific islander",asian,pacific islander,
61,white,white,,
62,white,white,,
63,white,white,,
64,hispanic / latin,rather not disclose,,
65,white,white,,
66,asian,asian,,
67,"black, native american, white",black,white,native american
68,"middle eastern, other",middle eastern,,other
69,white,white,,
70,white,white,,
71,white,white,,
72,"native american, white",white,native american,
73,indian,indian,,
74,white,white,,
75,rather not disclose,rather not disclose,,
76,white,white,,
77,white,white,,
78,white,white,,
79,white,white,,
80,white,white,,
81,white,white,,
82,white,white,,
83,"asian, white",asian,white,
84,rather not disclose,rather not disclose,,
85,white,white,,
86,rather not disclose,rather not disclose,,
87,rather not disclose,rather not disclose,,
88,rather not disclose,rather not disclose,,
89,rather not disclose,rather not disclose,,
90,black,black,,
91,white,white,,
92,white,white,,
93,"hispanic / latin, white",white,,
94,white,white,,
95,white,white,,
96,white,white,,
97,asian,asian,,
98,white,white,,
99,black,black,,
100,white,white,,
101,rather not disclose,rather not disclose,,
102,white,white,,
103,white,white,,
104,white,white,,
105,white,white,,
106,asian,asian,,
107,white,white,,
108,pacific islander,pacific islander,,
109,white,white,,
110,rather not disclose,rather not disclose,,
111,white,white,,
112,"black, native american, hispanic / latin, other",black,native american,other
113,"black, native american, hispanic / latin",black,native american,
114,white,white,,
115,white,white,,
116,"asian, black, pacific islander",asian,black,pacific islander
117,white,white,,
118,"white, other",white,,other
119,white,white,,
120,white,white,,
121,white,white,,
122,white,white,,
123,"hispanic / latin, white",white,,
124,white,white,,
125,asian,asian,,
126,white,white,,
127,asian,asian,,
128,white,white,,
129,rather not disclose,rather not disclose,,
130,white,white,,
131,white,white,,
132,white,white,,
133,white,white,,
134,white,white,,
135,white,white,,
136,white,white,,
137,white,white,,
138,asian,asian,,
139,white,white,,
140,rather not disclose,rather not disclose,,
141,white,white,,
142,white,white,,
143,rather not disclose,rather not disclose,,
144,white,white,,
145,"hispanic / latin, white",white,,
146,asian,asian,,
147,asian,asian,,
148,white,white,,
149,white,white,,
150,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",asian,black,white
151,white,white,,
152,white,white,,
153,rather not disclose,rather not disclose,,
154,"black, white",mixed,,
155,white,white,,
156,other,rather not disclose,,other
157,white,white,,
158,white,white,,
159,white,white,,
160,asian,asian,,
161,rather not disclose,rather not disclose,,
162,asian,asian,,
163,rather not disclose,rather not disclose,,
164,white,white,,
165,white,white,,
166,white,white,,
167,"hispanic / latin, white",white,,
168,white,white,,
169,rather not disclose,rather not disclose,,
170,white,white,,
171,rather not disclose,rather not disclose,,
172,white,white,,
173,white,white,,
174,hispanic / latin,rather not disclose,,
175,"hispanic / latin, other",rather not disclose,,other
176,white,white,,
177,white,white,,
178,rather not disclose,rather not disclose,,
179,white,white,,
180,white,white,,
181,hispanic / latin,rather not disclose,,
182,white,white,,
183,white,white,,
184,white,white,,
185,rather not disclose,rather not disclose,,
186,white,white,,
187,white,white,,
188,asian,asian,,
189,white,white,,
190,indian,indian,,
191,hispanic / latin,rather not disclose,,
192,"hispanic / latin, white",white,,
193,white,white,,
194,asian,asian,,
195,white,white,,
196,hispanic / latin,rather not disclose,,
197,white,white,,
198,asian,asian,,
199,asian,asian,,
200,asian,asian,,
201,asian,asian,,
202,white,white,,
203,white,white,,
204,rather not disclose,rather not disclose,,
205,white,white,,
206,white,white,,
207,"hispanic / latin, white",white,,
208,white,white,,
209,white,white,,
210,white,white,,
211,white,white,,
212,asian,asian,,
213,rather not disclose,rather not disclose,,
214,white,white,,
215,"asian, white",asian,white,
216,white,white,,
217,indian,indian,,
218,"hispanic / latin, white",white,,
219,white,white,,
220,white,white,,
221,asian,asian,,
222,white,white,,
223,white,white,,
224,white,white,,
225,white,white,,
226,"white, other",white,,other
227,white,white,,
228,white,white,,
229,white,white,,
230,"asian, white",asian,white,
231,hispanic / latin,rather not disclose,,
232,white,white,,
233,white,white,,
234,"white, other",white,,other
235,white,white,,
236,white,white,,
237,other,rather not disclose,,other
238,white,white,,
239,white,white,,
240,asian,asian,,
241,"white, other",white,,other
242,asian,asian,,
243,rather not disclose,rather not disclose,,
244,white,white,,
245,black,black,,
246,white,white,,
247,white,white,,
248,hispanic / latin,rather not disclose,,
249,asian,asian,,
