index,speaks,fluent,good
0,english (fluently),english,
1,english (fluently),english,
2,"english (fluently), french, c++",english,"french, c++"
3,english (fluently),english,
4,english (fluently),english,
5,"english (fluently), chinese (okay)",english,chinese
6,english (fluently),english,
7,"english (fluently), spanish (okay)",english,spanish
8,english (fluently),english,
9,english (fluently),english,
10,english (fluently),english,
11,english (fluently),english,
12,english (fluently),english,
13,english (fluently),english,
14,english (fluently),english,
15,"english (fluently), spanish (okay)",english,spanish
16,"english (fluently), c++ (fluently)","english, c++",
17,english (fluently),english,
18,english (fluently),english,
19,english (fluently),english,
20,english (fluently),english,
21,"english (fluently), spanish (fluently), italian (okay)","english, spanish",italian
22,english (fluently),english,
23,english (fluently),english,
24,english (fluently),english,
25,english (fluently),english,
26,"english (fluently), tagalog (fluently), japanese (okay)","english, tagalog",japanese
27,"english (fluently), other (fluently)",english,
28,english (fluently),english,
29,english (fluently),english,
30,english (fluently),english,
31,english (fluently),english,
32,english (fluently),english,
33,"english (fluently), spanish (fluently)","english, spanish",
34,english (fluently),english,
35,"english (fluently), russian",english,russian
36,"english (fluently), spanish (fluently)","english, spanish",
37,english (fluently),english,
38,english (fluently),english,
39,english (fluently),english,
40,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)","english, dutch, lisp","spanish, german"
41,english (fluently),english,
42,"english (fluently), indonesian (fluently)","english, indonesian",
43,"english (okay), c++ (okay)",english,"english, c++"
44,english (fluently),english,
45,"english (fluently), tagalog (fluently)","english, tagalog",
46,"english (fluently), swedish (fluently)","english, swedish",
47,english (okay),english,english
48,"english (fluently), belarusan, gujarati, lisp, russian (fluently)","english, russian","belarusan, gujarati, lisp"
49,"english (fluently), spanish (okay)",english,spanish
50,"english (fluently), spanish (okay)",english,spanish
51,english (fluently),english,
52,english (fluently),english,
53,english (fluently),english,
54,english (fluently),english,
55,"english (fluently), farsi (fluently)","english, farsi",
56,"english (fluently), french (fluently)","english, french",
57,english (fluently),english,
58,english (fluently),english,
59,english (fluently),english,
60,"english (fluently), c++ (okay)",english,c++
61,english (fluently),english,
62,english (fluently),english,
63,"english (fluently), spanish (okay)",english,spanish
64,"english (fluently), spanish (fluently)","english, spanish",
65,english (fluently),english,
66,english (fluently),english,
67,english (fluently),english,
68,english (fluently),english,
69,english (fluently),english,
70,english (fluently),english,
71,"english (fluently), spanish (okay), c++",english,"spanish, c++"
72,,english,
73,"english (fluently), hindi (okay)",english,hindi
74,"english (fluently), french (okay)",english,french
75,english (fluently),english,
76,english (fluently),english,
77,english (fluently),english,
78,"english (fluently), spanish, italian",english,"spanish, italian"
79,english (fluently),english,
80,"english (fluently), french (fluently)","english, french",
81,"english (fluently), german (fluently), spanish (okay)","english, german",spanish
82,english (fluently),english,
83,"english (fluently), japanese (okay)",english,japanese
84,english (fluently),english,
85,"english (fluently), spanish (okay)",english,spanish
86,"english (fluently), spanish (okay)",english,spanish
87,english (fluently),english,
88,"english (fluently), spanish (okay)",english,spanish
89,english (fluently),english,
90,english (fluently),english,
91,english (fluently),english,
92,english (fluently),english,
93,"english (fluently), spanish (okay)",english,spanish
94,english (fluently),english,
95,"english (fluently), french (okay)",english,french
96,other (fluently),english,
97,"english (fluently), chinese",english,chinese
98,english (fluently),english,
99,english (fluently),english,
100,english (fluently),english,
101,"afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)","afrikaans, c++, khmer",lisp
102,english (fluently),english,
103,english (fluently),english,
104,english (fluently),english,
105,"english (fluently), hebrew (okay)",english,hebrew
106,english (fluently),english,
107,english (fluently),english,
108,english (fluently),english,
109,english (fluently),english,
110,"english (fluently), spanish",english,spanish
111,"english (fluently), spanish (fluently)","english, spanish",
112,english (fluently),english,
113,english (fluently),english,
114,"english (fluently), c++ (okay)",english,c++
