index,pets,dogs,cats
0,likes dogs and likes cats,like,like
1,likes dogs and likes cats,like,like
2,has cats,no importance,own
3,likes cats,no importance,like
4,likes dogs and likes cats,like,like
5,likes cats,no importance,like
6,likes dogs and likes cats,like,like
7,likes dogs and likes cats,like,like
8,likes dogs and likes cats,like,like
9,likes dogs and likes cats,like,like
10,no importance,no importance,no importance
11,likes cats,no importance,like
12,no importance,no importance,no importance
13,has dogs and likes cats,own,like
14,likes dogs and has cats,like,own
15,likes dogs and has cats,like,own
16,likes dogs and likes cats,like,like
17,no importance,no importance,no importance
18,likes dogs and likes cats,like,like
19,likes dogs and likes cats,like,like
20,likes dogs and dislikes cats,like,like
21,likes dogs and likes cats,like,like
22,likes dogs and likes cats,like,like
23,likes dogs and likes cats,like,like
24,likes cats,no importance,like
25,has dogs,own,no importance
26,likes dogs and dislikes cats,like,like
27,has dogs and dislikes cats,own,like
28,likes dogs and likes cats,like,like
29,no importance,no importance,no importance
30,no importance,no importance,no importance
31,likes dogs,like,no importance
32,no importance,no importance,no importance
33,has dogs and likes cats,own,like
34,likes dogs and likes cats,like,like
35,no importance,no importance,no importance
36,likes dogs and dislikes cats,like,like
37,likes dogs and likes cats,like,like
38,no importance,no importance,no importance
39,no importance,no importance,no importance
40,likes cats,no importance,like
41,no importance,no importance,no importance
42,no importance,no importance,no importance
43,likes dogs,like,no importance
44,has cats,no importance,own
45,no importance,no importance,no importance
46,no importance,no importance,no importance
47,no importance,no importance,no importance
48,no importance,no importance,no importance
49,likes dogs and likes cats,like,like
50,no importance,no importance,no importance
51,likes dogs,like,no importance
52,likes dogs and likes cats,like,like
53,has dogs,own,no importance
54,likes dogs and likes cats,like,like
55,likes dogs and has cats,like,own
56,no importance,no importance,no importance
57,no importance,no importance,no importance
58,has dogs and has cats,own,own
59,likes dogs and likes cats,like,like
60,likes dogs and dislikes cats,like,like
61,likes dogs and likes cats,like,like
62,no importance,no importance,no importance
63,likes dogs,like,no importance
64,no importance,no importance,no importance
65,no importance,no importance,no importance
66,no importance,no importance,no importance
67,likes dogs and has cats,like,own
68,likes dogs and likes cats,like,like
69,likes dogs and likes cats,like,like
70,no importance,no importance,no importance
71,likes dogs,like,no importance
72,likes dogs and likes cats,like,like
73,no importance,no importance,no importance
74,likes dogs and has cats,like,own
75,no importance,no importance,no importance
76,likes dogs,like,no importance
77,likes dogs and has cats,like,own
78,no importance,no importance,no importance
79,likes dogs and likes cats,like,like
80,no importance,no importance,no importance
81,likes dogs and likes cats,like,like
82,likes dogs and has cats,like,own
83,likes dogs and likes cats,like,like
84,likes dogs,like,no importance
85,likes cats,no importance,like
86,likes dogs and likes cats,like,like
87,no importance,no importance,no importance
88,no importance,no importance,no importance
89,likes dogs and has cats,like,own
90,no importance,no importance,no importance
91,no importance,no importance,no importance
92,no importance,no importance,no importance
93,likes dogs,like,no importance
94,likes dogs and likes cats,like,like
95,likes dogs and likes cats,like,like
96,likes dogs and has cats,like,own
97,no importance,no importance,no importance
98,likes dogs,like,no importance
99,no importance,no importance,no importance
100,no importance,no importance,no importance
101,no importance,no importance,no importance
102,no importance,no importance,no importance
103,likes dogs,like,no importance
104,likes dogs,like,no importance
105,likes dogs,like,no importance
106,likes dogs,like,no importance
107,has dogs,own,no importance
108,likes dogs,like,no importance
109,no importance,no importance,no importance
110,no importance,no importance,no importance
111,likes dogs,like,no importance
112,no importance,no importance,no importance
113,likes dogs and likes cats,like,like
114,likes dogs and likes cats,like,like
115,no importance,no importance,no importance
116,no importance,no importance,no importance
117,likes dogs and likes cats,like,like
118,likes dogs and likes cats,like,like
119,likes dogs and likes cats,like,like
120,has cats,no importance,own
121,dislikes dogs and has cats,like,own
122,likes dogs and likes cats,like,like
123,likes dogs,like,no importance
124,no importance,no importance,no importance
125,likes dogs and likes cats,like,like
126,no importance,no importance,no importance
127,likes dogs and likes cats,like,like
128,likes dogs and likes cats,like,like
129,no importance,no importance,no importance
130,likes cats,no importance,like
131,has dogs,own,no importance
132,likes dogs and has cats,like,own
133,has dogs,own,no importance
134,likes dogs and likes cats,like,like
135,no importance,no importance,no importance
136,likes cats,no importance,like
137,has cats,no importance,own
138,likes dogs,like,no importance
139,no importance,no importance,no importance
140,no importance,no importance,no importance
141,likes dogs and likes cats,like,like
142,likes dogs and likes cats,like,like
143,no importance,no importance,no importance
144,no importance,no importance,no importance
145,likes dogs and likes cats,like,like
146,no importance,no importance,no importance
147,likes dogs and dislikes cats,like,like
148,likes dogs,like,no importance
149,likes dogs and likes cats,like,like
150,likes dogs,like,no importance
151,has dogs and likes cats,own,like
152,has dogs and has cats,own,own
153,no importance,no importance,no importance
154,likes dogs and likes cats,like,like
155,no importance,no importance,no importance
156,no importance,no importance,no importance
157,likes dogs,like,no importance
158,likes dogs and has cats,like,own
159,likes dogs,like,no importance
160,likes dogs and has cats,like,own
161,has dogs,own,no importance
162,no importance,no importance,no importance
163,no importance,no importance,no importance
164,no importance,no importance,no importance
165,no importance,no importance,no importance
166,no importance,no importance,no importance
167,likes dogs and likes cats,like,like
168,likes dogs,like,no importance
169,has dogs and likes cats,own,like
170,no importance,no importance,no importance
171,likes dogs and has cats,like,own
172,likes dogs,like,no importance
173,likes dogs and has cats,like,own
174,has dogs and dislikes cats,own,like
175,no importance,no importance,no importance
176,likes dogs and has cats,like,own
177,has dogs and dislikes cats,own,like
178,has cats,no importance,own
179,likes dogs and dislikes cats,like,like
180,has dogs and likes cats,own,like
181,likes dogs and likes cats,like,like
182,likes dogs and has cats,like,own
183,no importance,no importance,no importance
184,no importance,no importance,no importance
185,no importance,no importance,no importance
186,no importance,no importance,no importance
187,no importance,no importance,no importance
188,likes dogs and likes cats,like,like
189,likes dogs and likes cats,like,like
190,likes dogs,like,no importance
191,likes dogs,like,no importance
192,likes dogs and likes cats,like,like
193,likes dogs and likes cats,like,like
194,has dogs,own,no importance
195,likes dogs and dislikes cats,like,like
196,likes dogs and likes cats,like,like
197,no importance,no importance,no importance
198,likes dogs,like,no importance
199,has dogs,own,no importance
200,no importance,no importance,no importance
201,likes dogs,like,no importance
202,likes dogs and likes cats,like,like
203,likes dogs and has cats,like,own
204,likes dogs and dislikes cats,like,like
205,likes dogs and has cats,like,own
206,has cats,no importance,own
207,likes dogs,like,no importance
208,likes cats,no importance,like
209,has dogs and has cats,own,own
210,has dogs,own,no importance
211,likes dogs and likes cats,like,like
212,no importance,no importance,no importance
213,no importance,no importance,no importance
214,likes dogs and has cats,like,own
215,likes cats,no importance,like
216,likes dogs and likes cats,like,like
217,likes dogs and has cats,like,own
218,likes dogs and dislikes cats,like,like
219,likes dogs and likes cats,like,like
220,no importance,no importance,no importance
221,likes dogs and likes cats,like,like
222,likes dogs and likes cats,like,like
223,has dogs and has cats,own,own
224,likes dogs and likes cats,like,like
225,has dogs and likes cats,own,like
226,no importance,no importance,no importance
227,likes dogs and likes cats,like,like
228,has dogs,own,no importance
229,no importance,no importance,no importance
230,likes dogs,like,no importance
231,likes dogs,like,no importance
232,no importance,no importance,no importance
233,likes dogs and likes cats,like,like
234,likes dogs and likes cats,like,like
235,no importance,no importance,no importance
236,has dogs,own,no importance
237,no importance,no importance,no importance
238,likes dogs and has cats,like,own
239,has dogs and likes cats,own,like
240,likes dogs,like,no importance
241,no importance,no importance,no importance
242,likes dogs and likes cats,like,like
243,likes dogs and dislikes cats,like,like
244,has dogs,own,no importance
245,likes dogs and dislikes cats,like,like
246,has dogs,own,no importance
247,has cats,no importance,own
248,no importance,no importance,no importance
249,likes dogs and has cats,like,own
250,has dogs,own,no importance
251,no importance,no importance,no importance
252,likes dogs and likes cats,like,like
253,likes dogs,like,no importance
254,has dogs,own,no importance
255,has dogs,own,no importance
256,no importance,no importance,no importance
257,no importance,no importance,no importance
258,has dogs,own,no importance
259,no importance,no importance,no importance
260,has dogs and has cats,own,own
261,no importance,no importance,no importance
262,has cats,no importance,own
263,has dogs,own,no importance
264,has dogs and likes cats,own,like
265,has dogs and dislikes cats,own,like
266,likes dogs and has cats,like,own
267,likes dogs and likes cats,like,like
268,no importance,no importance,no importance
