index,religion,religion_name,seriousness
0,agnosticism and very serious about it,agnosticism,very serious
1,agnosticism but not too serious about it,agnosticism,not too serious
2,rather not disclose,rather not disclose,no importance
3,rather not disclose,rather not disclose,no importance
4,rather not disclose,rather not disclose,no importance
5,atheism,atheism,no importance
6,rather not disclose,rather not disclose,no importance
7,christianity,christianity,no importance
8,christianity but not too serious about it,christianity,not too serious
9,atheism and laughing about it,atheism,laughing
10,rather not disclose,rather not disclose,no importance
11,christianity and very serious about it,christianity,very serious
12,other,other,no importance
13,christianity but not too serious about it,christianity,not too serious
14,catholicism,catholicism,no importance
15,atheism and laughing about it,atheism,laughing
16,rather not disclose,rather not disclose,no importance
17,rather not disclose,rather not disclose,no importance
18,christianity,christianity,no importance
19,catholicism but not too serious about it,catholicism,not too serious
20,catholicism,catholicism,no importance
21,catholicism and somewhat serious about it,catholicism,somewhat serious
22,agnosticism and somewhat serious about it,agnosticism,somewhat serious
23,atheism and laughing about it,atheism,laughing
24,other,other,no importance
25,rather not disclose,rather not disclose,no importance
26,catholicism and laughing about it,catholicism,laughing
27,agnosticism and laughing about it,agnosticism,laughing
28,atheism and laughing about it,atheism,laughing
29,agnosticism and laughing about it,agnosticism,laughing
30,agnosticism,agnosticism,no importance
31,atheism,atheism,no importance
32,christianity,christianity,no importance
33,rather not disclose,rather not disclose,no importance
34,atheism and somewhat serious about it,atheism,somewhat serious
35,rather not disclose,rather not disclose,no importance
36,buddhism but not too serious about it,buddhism,not too serious
37,rather not disclose,rather not disclose,no importance
38,rather not disclose,rather not disclose,no importance
39,rather not disclose,rather not disclose,no importance
40,agnosticism,agnosticism,no importance
41,agnosticism,agnosticism,no importance
42,other but not too serious about it,other,no importance
43,agnosticism but not too serious about it,agnosticism,not too serious
44,other,other,no importance
45,catholicism and somewhat serious about it,catholicism,somewhat serious
46,rather not disclose,rather not disclose,no importance
47,agnosticism and laughing about it,agnosticism,laughing
48,rather not disclose,rather not disclose,no importance
49,other but not too serious about it,other,no importance
50,rather not disclose,rather not disclose,no importance
51,rather not disclose,rather not disclose,no importance
52,agnosticism,agnosticism,no importance
53,rather not disclose,rather not disclose,no importance
54,atheism,atheism,no importance
55,rather not disclose,rather not disclose,no importance
56,atheism and laughing about it,atheism,laughing
57,buddhism,buddhism,no importance
58,agnosticism,agnosticism,no importance
59,agnosticism and somewhat serious about it,agnosticism,somewhat serious
60,catholicism,catholicism,no importance
61,rather not disclose,rather not disclose,no importance
62,agnosticism but not too serious about it,agnosticism,not too serious
63,other and laughing about it,other,no importance
64,rather not disclose,rather not disclose,no importance
65,judaism but not too serious about it,judaism,not too serious
66,buddhism and laughing about it,buddhism,laughing
67,other and somewhat serious about it,other,no importance
68,other and very serious about it,other,no importance
69,agnosticism and somewhat serious about it,agnosticism,somewhat serious
70,rather not disclose,rather not disclose,no importance
71,rather not disclose,rather not disclose,no importance
72,agnosticism and very serious about it,agnosticism,very serious
73,hinduism but not too serious about it,hinduism,not too serious
74,rather not disclose,rather not disclose,no importance
75,rather not disclose,rather not disclose,no importance
76,agnosticism,agnosticism,no importance
77,agnosticism and laughing about it,agnosticism,laughing
78,agnosticism but not too serious about it,agnosticism,not too serious
79,catholicism but not too serious about it,catholicism,not too serious
80,atheism,atheism,no importance
81,atheism,atheism,no importance
82,agnosticism,agnosticism,no importance
83,rather not disclose,rather not disclose,no importance
84,rather not disclose,rather not disclose,no importance
85,atheism but not too serious about it,atheism,not too serious
86,rather not disclose,rather not disclose,no importance
87,rather not disclose,rather not disclose,no importance
88,rather not disclose,rather not disclose,no importance
89,other but not too serious about it,other,no importance
90,rather not disclose,rather not disclose,no importance
91,catholicism,catholicism,no importance
92,rather not disclose,rather not disclose,no importance
93,rather not disclose,rather not disclose,no importance
94,agnosticism and very serious about it,agnosticism,very serious
95,catholicism and laughing about it,catholicism,laughing
96,other and very serious about it,other,no importance
97,agnosticism,agnosticism,no importance
98,atheism,atheism,no importance
99,christianity,christianity,no importance
100,rather not disclose,rather not disclose,no importance
101,other and very serious about it,other,no importance
102,agnosticism and somewhat serious about it,agnosticism,somewhat serious
103,atheism but not too serious about it,atheism,not too serious
104,rather not disclose,rather not disclose,no importance
105,judaism,judaism,no importance
106,agnosticism and laughing about it,agnosticism,laughing
107,rather not disclose,rather not disclose,no importance
108,rather not disclose,rather not disclose,no importance
109,christianity and very serious about it,christianity,very serious
110,rather not disclose,rather not disclose,no importance
111,agnosticism,agnosticism,no importance
112,rather not disclose,rather not disclose,no importance
